location,floor,floors_count,rooms_count,total_meters,price,year_of_construction,object_type,have_loggia,parking_type,house_material_type,living_meters,kitchen_meters,ceiling_height,street,house_number,residential_complex
Пересвет,18,22,1,43.2,19200000,2022,Вторичка / Апартаменты,-1,-1,-1,"8,6 м²","21,7 м²",3 м,Большой Волоколамский проезд,23,Комплекс апартаментов B’aires
Пересвет,7,19,1,32.0,6650000,2022,Вторичка,1 балкон,-1,-1,16 м²,8 м²,-1,0,2-3,Светлая Долина ЖК
Пересвет,2,12,1,42.1,6727580,2024,Новостройка,1 балкон,-1,-1,"15,8 м²","11,7 м²","2,7 м", Ярославская,115к2,Небо
Пересвет,11,27,1,41.4,16490000,2025,Новостройка,-1,Подземная,-1,15 м²,18 м²,"3,2 м", Золоторожский Вал,0,Символ
Пересвет,5,10,1,37.0,7400000,2021,Вторичка,1 балкон,-1,-1,-1,8 м²,"2,8 м", Адмиральского,1А,0
Пересвет,2,24,1,31.3,7936000,2023,Новостройка,-1,-1,Монолитно-кирпичный,"15,8 м²","4,4 м²","2,7 м", Мира,47/7,Проспект Мира. Компаунд
Пересвет,4,8,1,40.5,9400000,2025,Новостройка,1 лоджия,-1,-1,"17,4 м²","11,3 м²",-1,0,5/2,"Новые Ватутинки, мкр. Заречный"
Пересвет,9,27,1,47.1,21999000,2023,Вторичка,1 лоджия,Подземная,-1,"13,4 м²",21 м²,3 м,Электролитный проезд,7,TopHills
Пересвет,9,17,1,36.8,7600000,-1,Вторичка,1 лоджия,-1,-1,18 м²,10 м²,-1, Декабристов,8,На высоте
Пересвет,3,9,1,55.0,18788500,2025,Новостройка,-1,-1,-1,"19,2 м²","14,7 м²","3,59 м", Михаила Ананьева,0,Клубный дом инженера Ятеса
Пересвет,4,10,1,42.3,6175000,2003,Вторичка,1 лоджия,Наземная,-1,"24,3 м²","10,6 м²","2,7 м",Спортивный проезд,15,0
Пересвет,51,75,1,123.0,85000000,-1,Вторичка / Апартаменты,-1,Подземная,-1,69 м²,15 м²,-1,1-й Красногвардейский проезд,15,Меркурий Тауэр
Пересвет,11,25,1,31.6,4699000,2026,Новостройка,-1,-1,-1,"15,1 м²","7,5 м²","2,7 м", Бочкарева,0,Старт
Пересвет,3,3,1,48.9,5325000,2022,Вторичка,-1,-1,-1,-1,-1,-1, Владимирская,95к24,0
Пересвет,13,17,1,37.6,11000000,2018,Вторичка,-1,Наземная,-1,"17,6 м²",15 м²,"2,75 м", Бачуринская,7к2,Новая Звезда
Пересвет,2,10,1,35.79,11273850,2025,Новостройка,1 лоджия,-1,Монолитно-кирпичный,-1,"9,8 м²",3 м,0,0,Отражение
Пересвет,3,5,1,46.3,41670000,-1,Вторичка / Апартаменты,-1,Подземная,-1,32 м²,-1,"3,1 м",Озерковская набережная,6,Bogenhouse
Пересвет,2,5,1,30.6,3500000,1964,Вторичка,1 балкон,Наземная,-1,19 м²,"5,6 м²",-1, Зои Космодемьянской,12,0
Пересвет,11,24,1,40.36,9020000,2026,Новостройка,-1,Подземная,Монолитный,"16,1 м²","13,3 м²","2,74 м",Южно-Приморский,0,Огни Залива ЖК
Пересвет,4,20,1,76.13,32164925,2024,Новостройка,"1 лоджия, 1 балкон",Подземная,-1,"27,7 м²","21,3 м²","2,85 м",Автозаводская ,26,FORST
Пересвет,4,5,1,31.6,4690000,1958,Вторичка,1 балкон,Наземная,-1,-1,7 м²,"2,8 м", Воровского,5,0
Пересвет,2,24,1,33.9,5639434,2026,Новостройка,-1,Открытая,Монолитный,"8,5 м²","14,7 м²","2,66 м",0,2,Снежный парк ЖК
Пересвет,4,7,1,42.0,10300000,2019,Вторичка,1 лоджия,Наземная,-1,31 м²,8 м²,"2,7 м",Таманская ,121к11,Бельведер
Пересвет,2,13,1,31.78,6184770,2025,Новостройка,1 лоджия,-1,Монолитно-кирпичный,"10,2 м²","12,1 м²","2,72 м",0,0,Аквилон All In 3.0
Пересвет,2,3,1,41.0,4915000,2024,Вторичка,-1,-1,-1,-1,16 м²,-1, Владимирская,95к24,0
Пересвет,10,22,1,36.1,5890000,-1,Вторичка,1 лоджия,-1,-1,17 м²,10 м²,"2,8 м", Лучистая,3,Солнечный
Пересвет,2,24,1,33.8,6286800,2023,Новостройка,-1,-1,Монолитно-кирпичный,"15,7 м²","10,5 м²",3 м, Ф.Я. Бурсака,82,Мята
Пересвет,3,3,1,56.0,6098000,2022,Вторичка,-1,-1,-1,-1,-1,-1, Владимирская,95к24,0
