location,floor,floors_count,rooms_count,total_meters,price,year_of_construction,object_type,have_loggia,parking_type,house_material_type,living_meters,kitchen_meters,ceiling_height,street,house_number,residential_complex,price_per_meter
Серпухов,2,3,2,42.0,3200000.0,-1,Вторичка,-1,Наземная,-1,28 м²,6 м²,-1,0,0,0,76190
Серпухов,2,4,1,41.4,2800000.0,1975,Вторичка,1 балкон,Наземная,-1,20 м²,7 м²,-1,0,0,0,67633
Серпухов,2,2,1,31.3,2700000.0,1970,Вторичка,-1,Наземная,-1,-1,5 м²,-1, Садовая,1А,0,86262
Серпухов,5,5,1,31.0,3090000.0,1984,Вторичка,1 балкон,Наземная,-1,15 м²,"7,3 м²",-1, Бригадная,105,0,99677
Серпухов,1,2,1,32.1,2600000.0,1965,Вторичка,-1,Наземная,-1,-1,"6,1 м²","2,5 м", Новые Дома,10,0,80997
Серпухов,2,5,2,47.5,2600000.0,-1,Вторичка,1 балкон,Наземная,-1,28 м²,6 м²,"2,4 м",0,0,0,54737
Серпухов,2,3,1,27.0,2500000.0,-1,Вторичка,-1,-1,-1,19 м²,3 м²,"2,5 м", Красный Текстильщик,6/2,0,92593
Серпухов,6,6,1,38.9,2800000.0,2010,Вторичка,1 лоджия,-1,-1,16 м²,10 м²,"2,8 м", Молодежная,1,0,71979
Серпухов,2,5,1,29.0,3100000.0,1964,Вторичка,-1,-1,-1,19 м²,6 м²,"2,5 м",переулок 1-й Оборонный,6,0,106897
Серпухов,1,2,3,141.9,3081000.0,Аукцион,Вторичка,-1,-1,-1,-1,-1,-1,Калужская ,62/8,0,21712
Серпухов,8,10,3,64.0,7450000.0,1992,Вторичка,1 лоджия,Наземная,-1,-1,9 м²,"2,8 м",Звездная ,9,0,116406
Серпухов,8,9,3,60.0,6600000.0,1975,Вторичка,1 лоджия,-1,-1,40 м²,9 м²,"2,6 м", Ворошилова,144,0,110000
Серпухов,3,10,3,62.1,7300000.0,1992,Вторичка,1 балкон,-1,-1,45 м²,9 м²,"2,8 м",Звездная ,9,0,117552
Серпухов,3,5,3,67.2,7999000.0,-1,Вторичка,3 лоджии,Наземная,-1,50 м²,10 м²,-1, Ивана Болотникова,30/19,0,119033
Серпухов,7,24,3,77.6,12700000.0,2011,Вторичка / Апартаменты,1 балкон,-1,-1,-1,5 м²,-1,Борисовское шоссе,1,0,163660
Серпухов,6,9,3,62.0,7350000.0,1986,Вторичка,1 лоджия,-1,-1,44 м²,8 м²,"2,65 м", Пушкина,46,0,118548
Серпухов,5,10,3,63.0,7600000.0,1994,Вторичка,1 лоджия,-1,-1,-1,8 м²,-1,Новая ,26Б,0,120635
Серпухов,1,5,3,57.9,5750000.0,1969,Вторичка,-1,-1,-1,-1,5 м²,-1,Центральная ,156,0,99309
Серпухов,1,2,3,56.0,5490000.0,1956,Вторичка,-1,Наземная,-1,40 м²,6 м²,"2,8 м", Захаркина,32,0,98036
Серпухов,7,10,3,65.0,8800000.0,-1,Вторичка,-1,-1,-1,-1,-1,-1,Весенняя ,66а,0,135385
Серпухов,2,5,3,54.0,5400000.0,1966,Вторичка,-1,-1,-1,39 м²,6 м²,-1, Лермонтова,71,0,100000
Серпухов,1,5,3,67.0,8300000.0,1973,Вторичка,1 лоджия,Наземная,-1,41 м²,9 м²,"2,5 м", Космонавтов,22,0,123881
